R-Number,R-Location,H-Number,H-Name,Price,JOCKEY,TRAINER,BP,Wgt,WTC,DOD,DLR,PR,W,P,NOR,A-S,RTC-P,DC,FORM L5,CRS-W,CRS-P,CRS-R,DIS-W,DIS-P,DIS-R,AES,AFS,JH,JR,Column25,FORM L5-1,TOL3R,BF-P,BFT5,R-Type,DTW,R-Time,H-SpCat,H-Espd,H-LSpd,R-Spd
R8,GRAFTON,14,TALAKAI,12,A ALLEN,P SINCLAIR,5,55,-3,1.5,19,26,9,27,11,4-M,8U-M,10,91052,0,1,3,1,1,4,16.3,17.3,50,1.8,,91052,17,17.25,,"Team Aidan Markets @ CRJC This Sunday CLASS 2 HANDICAP 1610m, CL2 $27,000",8,16:50:00,Off Midfield,0.333333333,3,Average
R8,GRAFTON,15,THREE GRACES,5.5,MS SIENA GRIMA,ETHAN ENSBY,7,55,-3,3.5,34,20,5,42,19,5-M,10U-OP,-120,42321,1,1,3,0,0,1,16.3,16.3,0,3.6,,42321,6,6.09,,"Team Aidan Markets @ CRJC This Sunday CLASS 2 HANDICAP 1610m, CL2 $27,000",3,16:50:00,Midfield,0.4,4,Average
R8,GRAFTON,17,STRATUM CHIEF,61,MS K ADAMS,T HIGGINS,7,55,0,7.5,8,41,7,18,28,5-G,12U-BK,10,98485,0,0,5,0,1,3,16.5,17.3,0,2.6,,98485,17,90.61,,"Team Aidan Markets @ CRJC This Sunday CLASS 2 HANDICAP 1610m, CL2 $27,000",0,16:50:00,Backmarker,0.166666667,4,Average
R9,GRAFTON,1,BUGALUGS,15,MISS ISABEL JESSOP,JIMMY DOWNES,2,63.5,7,,100,8,20,45,66,9-G,FU-OP,6,0208x,5,6,13,7,7,29,17.3,17.3,0,2.1,,208,20,30.53,3,"Beats In The Valley Music Festival 7 December BENCHMARK 82 HANDICAP 1206m, BM82 $27,000",11,17:25:00,Off-Pace,0.555583333,1,Average
R9,GRAFTON,2,RACKETEERING,41,D PEISLEY,MS L SHEPPARD,6,60,1,0,51,41,29,47,17,8-G,3U-BK,-94,01x98,1,0,2,0,1,4,15.2,16.9,0,2.6,,198,18,142.97,,"Beats In The Valley Music Festival 7 December BENCHMARK 82 HANDICAP 1206m, BM82 $27,000",3,17:25:00,Off Midfield,0.333333333,5,Average
R9,GRAFTON,3,SINGLE TOUCH,5,COURTNEY BELLAMY,B BELLAMY,2,59.5,4,0.5,19,4.8,18,45,33,6-G,8U-OP,106,53211,3,3,8,1,2,9,16.9,17.9,100,3.9,,53211,4,7.59,,"Beats In The Valley Music Festival 7 December BENCHMARK 82 HANDICAP 1206m, BM82 $27,000",11,17:25:00,Midfield,0.444416667,4,Average
R9,GRAFTON,4,MAXIMUM VORTEX,6,MS SIENA GRIMA,ETHAN ENSBY,5,58,5,3,23,6,29,50,14,5-G,SU-L,106,200x2,4,1,6,2,1,6,17.5,17.4,0,3.5,,2002,22,4.68,,"Beats In The Valley Music Festival 7 December BENCHMARK 82 HANDICAP 1206m, BM82 $27,000",11,17:25:00,Leader,1,1,Average
R9,GRAFTON,5,PHOENIX GLOBAL,26,NORIYUKI MASUDA,ETHAN ENSBY,2,57,-1,,248,26,15,38,40,9-G,FU-M,6,5590x,0,0,0,4,4,24,15.9,17.9,0,1.9,,5590,24,44.34,5,"Beats In The Valley Music Festival 7 December BENCHMARK 82 HANDICAP 1206m, BM82 $27,000",8,17:25:00,On-Pace,0.833333333,2,Average
R9,GRAFTON,6,ANDY,10,MS SHAE WILKES,A PARRAMORE,9,56.5,-0.5,2.5,21,12,17,38,29,6-G,5U-OP,-104,x2944,2,5,11,3,4,13,17.5,17.7,0,3.5,,2944,17,7.06,4,"Beats In The Valley Music Festival 7 December BENCHMARK 82 HANDICAP 1206m, BM82 $27,000",11,17:25:00,Off-Pace,0.611083333,4,Average
R9,GRAFTON,7,COLLAYS SPIRIT,19,P GRAHAM,D GRAHAM,4,56,2,,65,41,11,37,65,6-G,FU-M,-194,6854x,0,0,1,0,4,10,16.5,17.3,0,1.8,,6854,17,40.79,,"Beats In The Valley Music Festival 7 December BENCHMARK 82 HANDICAP 1206m, BM82 $27,000",0,17:25:00,Midfield,0.388916667,2,Average
R9,GRAFTON,8,PREEMPTORY,4.5,M CAHILL,D MCCOLM,1,55.5,-0.5,7,19,10,19,38,16,7-G,SU-OM,106,135x9,0,0,1,2,0,5,17,18,0,3.6,,1359,17,5.45,2,"Beats In The Valley Music Festival 7 December BENCHMARK 82 HANDICAP 1206m, BM82 $27,000",8,17:25:00,Off Midfield,0.22225,5,Average
R9,GRAFTON,9,STRAPPARSI,5.5,A GIBBON,K LEES,3,55,0,0,21,4,15,55,20,5-M,7U-M,-104,75353,0,0,0,1,2,7,16.7,17.9,0,3.3,,75353,11,7.14,1,"Beats In The Valley Music Festival 7 December BENCHMARK 82 HANDICAP 1206m, BM82 $27,000",8,17:25:00,Off-Pace,0.666666667,3,Average
R9,GRAFTON,11,CABSAV,15,L P ROLLS,J SHELTON,7,55,0,1.5,19,14,14,45,44,6-G,5U-OM,106,x6674,4,9,23,4,8,20,17.2,18.1,50,2.2,,6674,17,32.76,,"Beats In The Valley Music Festival 7 December BENCHMARK 82 HANDICAP 1206m, BM82 $27,000",11,17:25:00,Off Midfield,0.27775,4,Average
R9,GRAFTON,13,CRITICAL TIME,9.5,A ALLEN,SCOTT HENLEY,8,55,-3,1,27,19,12,42,24,6-G,SU-P,200,580x2,1,1,4,2,1,9,16.7,17.8,0,1.8,,5802,20,13.85,,"Beats In The Valley Music Festival 7 December BENCHMARK 82 HANDICAP 1206m, BM82 $27,000",11,17:25:00,Midfield,0.5,1,Average
