R-Number,R-Location,H-Number,H-Name,B-Price,Price,RTD Price,Rev RTD Pr,V4 RTD Pr,RSBF %,Rev RTG,T4,T5,T2,AvS3,BF Top5,Price Rnk,RS-NP Rnk,BF-P Rnk,P% Rnk,RSBF Rnk,TTL Rnk,Rev Rnk,V4 Rnk,DLR,NOR,P%,JH%,JR,L4R,TOL3R,R-Spd,RU&P,H-SpCat,H-ESpd,H-LSpd,A-S,Wgt,WC,DC,Barr,Rider,Trainer,RS-NP,BF-P,RSBF Price,Class,Class Chk,Price Rank,RSBF PRnk,Barr Rank,DTW,TOL3R Form,RD Pr/Barr,V4 Class,Pr/Barr,Wgt_1,Class_2,DTW-Cal,TOTAL,RATING,WW%,PRICE.1,V4 TOTAL,V4 RTG,V4 WW%,PRICE_3,Rev TOTAL,Rev RTG_4,Rev WW%,PRICE_5,
R7,GRAFTON,1,SILVER CANVAS,,$4.50,$11.76,$5.16,$6.04,20.92%,10.25,2,2,7,1.75,5,2,2,2,4,2,5,1,6,19,30,33,0,3.5,5552,12,Average,8U-OP,Off-Pace,0.67,3,6-G,62.5,4,10,1,MS SIENA GRIMA,SHANNON MANWARRING,4.8,4.76,4.78,2.5,2.5,9,9,0,11,4.5,4,4,4,-3.75,0,5.5,4.25,4.25,8%,$11.76,8.75,8.75,16%,$6.04,10.25,10.25,19%,$5.16,
R7,GRAFTON,4,SALAMANCAS,,$7.50,$8.02,$10.02,$5.43,11.77%,5.25,2,3,7,2.75,4,3,3,3,2,3,4,5,4,62,9,44,0,3.9,6210,13,Average,8U-M,Off Midfield,0.22,4,4-G,59.5,0,-2,7,COURTNEY BELLAMY,N MAYFIELD-SMITH,6,10.99,8.495,0,,8,8,1,8,3.5,0,7,0,-0.75,,2.5,6.25,6.25,12%,$8.02,9.75,9.75,18%,$5.43,5.25,5.25,10%,$10.02,
R7,GRAFTON,5,OLD TIMING MAN,,$19.00,,$6.03,$5.72,4.57%,8.75,6,6,13,4.25,0,6,4,8,6,6,7,2,5,20,71,30,50,2.3,7341,8,Average,12U-P,Midfield,0.47,4,8-G,58,-2.5,210,5,J KEHOE,S EVERSON,7.5,36.26,21.88,3.5,3.5,4,3,0,11,8.5,-2,2,-1,0.75,-5,5.5,1.75,1.75,3%,$28.08,9.25,9.25,17%,$5.72,8.75,8.75,16%,$6.03,
R7,GRAFTON,6,HOTZINO,$4.21,$9.50,$7.43,,$5.16,7.81%,0,2,5,7,3.5,0,4,5,4,4,4,3,7,3,19,15,33,50,4.2,7364,13,Average,11U-OP,On-Pace,0.83,4,5-M,57.5,-2,-190,7,K MATHESON,JASON REILLY,9.5,16.11,12.805,0.5,0.5,7,7,1,0,3.5,-1,6.5,-1,1.25,0,-5.5,6.75,6.75,13%,$7.43,10.25,10.25,19%,$5.16,-1.75,0,0%,"$1,000.00",
R7,GRAFTON,7,ELLRO,$18.18,$2.20,$3.95,$6.03,$3.08,30.91%,8.75,1,1,2,1,1,1,1,1,1,1,1,2,1,19,5,60,100,3.6,83x1,12,Average,SU-P,Midfield,0.43,4,4-M,57,0,210,1,M CAHILL,D MCCOLM,3.8,2.67,3.235,1,1,10,10,0,3,4.5,5,6,5,1.75,0,-2.5,12.75,12.75,25%,$3.95,17.25,17.25,32%,$3.08,8.75,8.75,16%,$6.03,
R7,GRAFTON,9,INTO THE ZONE,,$41.00,,,,1.40%,,10,10,20,9,0,10,8,10,8,10,10,,10,19,4,25,0,1.9,1x90,20,Average,3U-BK,Backmarker,0.17,4,5-M,56.5,0.5,10,6,NORIYUKI MASUDA,D CHUJO,20,122.62,71.31,11.5,11.5,1,1,0,11,-3.5,-4,-8,-4,2.25,-5,5.5,-9.75,0,0%,"$1,000.00",-13.25,0,0%,"$1,000.00",,,,,
R7,GRAFTON,10,REVONTULET,,$19.00,,,,4.17%,,8,7,15,5.25,2,6,9,5,3,7,9,,9,34,16,38,0,3.3,9886,22,Average,5U-OM,Off Midfield,0.33,1,5-M,56,0.5,-20,2,A GIBBON,S LEE,26,22.01,24.005,8.5,8.5,4,6,0,11,-5.5,1,-4,-1,2.75,-5,5.5,-2.25,0,0%,"$1,000.00",-5.75,0,0%,"$1,000.00",,,,,
R7,GRAFTON,11,MULLUMOVA,,$21.00,$18.05,$18.95,$7.29,3.85%,2.75,7,8,14,6.5,0,8,7,7,7,8,6,6,7,36,34,26,100,3.2,9922,13,Average,6U-M,Midfield,0.40,3,7-M,55,0,-116,4,N TOMAZAWA,J SMITH,17,35,26,5,5,3,4,0,8,3.5,-1,1,-2,3.75,-5,2.5,2.75,2.75,5%,$18.05,7.25,7.25,14%,$7.29,2.75,2.75,5%,$18.95,
R7,GRAFTON,12,BELLEBEAN,,$26.00,,,,2.90%,,9,9,16,8.25,0,9,10,9,10,9,7,,8,19,15,20,0,2.2,x197,17,Average,4U-OP,Midfield,0.50,4,6-M,55,1,10,3,L P ROLLS,W LAWSON,31,38.03,34.515,4.5,4.5,2,2,0,0,-0.5,-3,1,-3,3.75,-5,-5.5,1.75,1.75,3%,$28.08,1.25,1.25,2%,$40.83,,,,,
R7,GRAFTON,13,STAR OF YAMBA,$3.08,$13.00,$5.44,$7.81,$4.93,5.17%,6.75,2,4,7,3.25,0,5,6,6,9,5,2,4,2,11,64,23,12,3.2,0383,14,Average,16U-OM,Off Midfield,0.28,4,6-M,55,2,-90,8,MS K ADAMS,T HIGGINS,12,26.7,19.35,-1,-1,6,5,1,8,2.5,-3,7.5,-2,3.75,0,2.5,9.25,9.25,18%,$5.44,10.75,10.75,20%,$4.93,6.75,6.75,13%,$7.81,
R8,GRAFTON,2,ROYAL RIFT,,$12.00,$11.32,$27.24,$9.22,8.10%,1.25,7,8,12,5.25,0,6,4,7,8,5,6,6,6,19,18,22,0,2.7,9654,15,Average,6U-OP,Off-Pace,0.58,4,5-G,58.5,-0.5,-590,4,K MATHESON,JASON REILLY,8.5,16.19,12.345,-1,-1,5,5,0,8,1.5,-1,7.5,-1,-1.75,0,2.5,4.75,4.75,9%,$11.32,6.25,6.25,11%,$9.22,1.25,1.25,4%,$27.24,
R8,GRAFTON,5,SHOWMAN,$5.71,$7.00,$8.63,,$8.55,14.16%,0,3,4,6,2.25,2,3,2,4,1,3,3,7,5,23,19,42,0,2.7,7575,17,Average,5U-OM,Backmarker,0.08,4,6-G,57,2.5,-190,1,MS SHAE WILKES,S LEE,5.5,8.62,7.06,1.5,1.5,7,8,0,0,-0.5,2,5.5,1,-0.25,0,-5.5,6.25,6.25,11%,$8.63,6.75,6.75,12%,$8.55,-5.25,0,0%,"$1,000.00",
R8,GRAFTON,6,DESERT MIST,$11.43,$3.50,$6.55,$19.61,$4.54,11.33%,1.75,1,3,3,2,0,1,6,1,8,4,2,4,4,19,23,22,0,3.3,x534,12,Average,4U-P,Midfield,0.42,4,5-G,56,-3.5,210,8,COURTNEY BELLAMY,M DUNN,13,4.66,8.83,1.5,1.5,11,11,1,0,4.5,2,5.5,2,0.75,0,-5.5,8.25,8.25,15%,$6.55,12.75,12.75,22%,$4.54,1.75,1.75,5%,$19.61,
R8,GRAFTON,7,TRUE FAIRY,,$7.00,$19.39,,,15.34%,,6,5,11,2.75,5,3,3,3,4,2,8,,9,19,10,40,40,3.4,05x6,21,Average,SU-BK,Off Midfield,0.25,4,4-M,56,-3,210,2,NORIYUKI MASUDA,D CHUJO,6.5,6.54,6.52,4.5,4.5,7,9,0,3,-4.5,3,1,1,0.75,-5,-2.5,2.75,2.75,5%,$19.39,0.25,0.25,0%,$188.78,,,,,
R8,GRAFTON,8,OCTAVIO,,$26.00,,,,4.78%,,9,9,18,6.5,0,9,7,9,3,8,9,,8,36,17,41,0,3.4,0736,16,Average,10U-M,Off-Pace,0.67,3,5-G,55.5,-3.5,84,3,N TOMAZAWA,D DWANE,16,25.88,20.94,3.5,3.5,3,3,0,0,0.5,-3,2,-3,1.25,-5,-5.5,0.25,0.25,0%,$178.68,0.75,0.75,1%,$71.99,,,,,
R8,GRAFTON,9,CHEAP WINE,,$61.00,,,,1.56%,,11,10,21,9.25,0,10,10,10,7,10,11,,11,37,4,25,0,2.2,7x00,27,Average,3U-OP,On-Pace,0.83,1,5-G,55,-3,210,2,A GIBBON,ETHAN ENSBY,41,86.89,63.945,12.5,12.5,1,2,0,3,-10.5,-4,-10,-5,1.75,-5,-2.5,-13.25,0,0%,"$1,000.00",-22.75,0,0%,"$1,000.00",,,,,
R8,GRAFTON,11,MAPLE DOOR,$5.71,$7.00,$5.44,$2.37,$2.98,16.30%,14.75,2,1,4,1,1,3,1,5,5,1,1,1,1,23,30,33,0,3,4241,7,Average,10U-OM,Off Midfield,0.29,1,6-G,55,-3.5,-40,5,A MALLYON,JIMMY DOWNES,3,9.27,6.135,-0.5,-0.5,7,7,0,8,9.5,1,7.2,1,1.75,0,2.5,9.95,9.95,18%,$5.44,19.45,19.45,33%,$2.98,14.75,14.75,42%,$2.37,
R8,GRAFTON,12,MAX O MAX,,$14.00,$9.37,$19.61,$3.80,7.47%,1.75,8,6,13,4,3,8,5,6,10,7,5,4,2,18,19,21,0,3.9,2135,9,Average,10U-M,Off Midfield,0.21,4,5-G,55,-1.5,-100,6,M CAHILL,O GLUE,11,15.79,13.395,1,1,4,6,0,0,7.5,0,6,-2,1.75,0,-5.5,5.75,5.75,11%,$9.37,15.25,15.25,26%,$3.80,1.75,1.75,5%,$19.61,
R8,GRAFTON,14,TALAKAI,$3.33,$12.00,$8.63,$12.57,$12.10,4.62%,2.75,5,7,9,4.5,0,6,9,8,6,9,3,3,7,19,11,27,50,1.8,1052,17,Average,8U-M,Off Midfield,0.33,3,4-M,55,-3,10,5,A ALLEN,P SINCLAIR,26,17.25,21.625,1.5,1.5,5,4,0,8,-0.5,-2,5.5,-1,1.75,0,2.5,6.25,6.25,11%,$8.63,4.75,4.75,8%,$12.10,2.75,2.75,8%,$12.57,
R8,GRAFTON,15,THREE GRACES,,$5.50,$11.32,$6.05,$3.80,7.67%,5.75,4,2,8,1.75,0,2,8,2,1,6,6,2,2,34,19,42,0,3.6,2321,6,Average,10U-OP,Midfield,0.40,4,5-M,55,-3,-120,7,MS SIENA GRIMA,ETHAN ENSBY,20,6.09,13.045,3.5,3.5,10,10,1,3,10.5,1,2,1,1.75,-5,-2.5,4.75,4.75,9%,$11.32,15.25,15.25,26%,$3.80,5.75,5.75,16%,$6.05,
R8,GRAFTON,17,STRATUM CHIEF,,$61.00,,,,1.52%,,10,11,20,10,0,10,10,11,11,11,10,,10,8,28,18,0,2.6,8485,17,Average,12U-BK,Backmarker,0.17,4,5-G,55,0,10,7,MS K ADAMS,T HIGGINS,41,90.61,65.805,7.5,7.5,1,1,1,0,-0.5,-5,-4,-5,1.75,-5,-5.5,-7.25,0,0%,"$1,000.00",-7.75,0,0%,"$1,000.00",,,,,
R9,GRAFTON,1,BUGALUGS,,$15.00,,,,5.19%,,10,7,18,5.5,3,7,4,7,4,7,11,,10,100,66,45,0,2.1,208x,20,Average,FU-OP,Off-Pace,0.56,1,9-G,63.5,7,6,2,MISS ISABEL JESSOP,JIMMY DOWNES,8,30.53,19.265,0,,4,5,0,11,-3.5,-1,7,-2,-4.25,,5.5,0.75,0.75,1%,$92.44,-1.75,0,0%,"$1,000.00",,,,,
R9,GRAFTON,2,RACKETEERING,,$41.00,,,,1.09%,,11,10,21,8,0,11,10,11,3,11,10,,9,51,17,47,0,2.6,1x98,18,Average,3U-BK,Off Midfield,0.33,5,8-G,60,1,-94,6,D PEISLEY,MS L SHEPPARD,41,142.97,91.985,0,,1,1,0,3,-1.5,-5,7,-5,-0.75,,-2.5,1.25,1.25,2%,$57.59,-0.25,0,0%,"$1,000.00",,,,,
R9,GRAFTON,3,SINGLE TOUCH,$8.00,$5.00,$7.40,$3.21,$2.47,16.14%,21.75,1,2,4,1.5,0,2,2,5,4,3,2,1,1,19,33,45,100,3.9,3211,4,Average,8U-OP,Midfield,0.44,4,6-G,59.5,4,106,2,COURTNEY BELLAMY,B BELLAMY,4.8,7.59,6.195,0.5,0.5,10,7,0,11,12.5,1,6.5,4,-0.25,0,5.5,10.25,10.25,13%,$7.40,19.75,19.75,40%,$2.47,21.75,21.75,31%,$3.21,
R9,GRAFTON,4,MAXIMUM VORTEX,,$6.00,$12.07,,$12.88,18.73%,0,5,3,10,1.75,0,4,3,1,2,1,6,7,7,23,14,50,0,3.5,00x2,22,Average,SU-L,Leader,1.00,1,5-G,58,5,106,5,MS SIENA GRIMA,ETHAN ENSBY,6,4.68,5.34,3,3,8,11,0,11,-5.5,5,3,2,1.25,-5,5.5,6.25,6.25,8%,$12.07,3.75,3.75,8%,$12.88,-1.75,0,0%,"$1,000.00",
R9,GRAFTON,5,PHOENIX GLOBAL,,$26.00,$14.34,,,2.84%,,9,11,17,8.25,5,10,9,10,8,9,7,,11,248,40,38,0,1.9,590x,24,Average,FU-M,On-Pace,0.83,2,9-G,57,-1,6,2,NORIYUKI MASUDA,ETHAN ENSBY,26,44.34,35.17,0,,2,2,0,8,-7.5,-4,7,-4,2.25,,2.5,5.25,5.25,7%,$14.34,-2.25,0,0%,"$1,000.00",,,,,
R9,GRAFTON,6,ANDY,,$10.00,$19.96,$14.52,$7.77,10.49%,4.75,7,5,15,4,4,6,6,3,8,5,9,4,4,21,29,38,0,3.5,2944,17,Average,5U-OP,Off-Pace,0.61,4,6-G,56.5,-0.5,-104,9,MS SHAE WILKES,A PARRAMORE,12,7.06,9.53,2.5,2.5,6,9,1,11,-0.5,0,4,-3,2.75,0,5.5,3.75,3.75,5%,$19.96,6.25,6.25,13%,$7.77,4.75,4.75,7%,$14.52,
R9,GRAFTON,7,COLLAYS SPIRIT,,$19.00,$10.43,,$7.20,2.45%,0,6,9,13,6,0,9,10,9,11,10,4,8,3,65,65,37,0,1.8,854x,17,Average,FU-M,Midfield,0.39,2,6-G,56,2,-194,4,P GRAHAM,D GRAHAM,41,40.79,40.895,0,,3,3,0,0,-0.5,-3,7,-3,3.25,,-5.5,7.25,7.25,9%,$10.43,6.75,6.75,14%,$7.20,-5.75,0,0%,"$1,000.00",
R9,GRAFTON,8,PREEMPTORY,,$4.50,$11.19,$12.03,$9.23,12.94%,5.75,3,4,6,2.5,2,1,5,2,8,4,5,3,5,19,16,38,0,3.6,35x9,17,Average,SU-OM,Off Midfield,0.22,5,7-G,55.5,-0.5,106,1,M CAHILL,D MCCOLM,10,5.45,7.725,7,7,11,10,0,8,-0.5,4,-2,5,3.75,-5,2.5,6.75,6.75,9%,$11.19,5.25,5.25,11%,$9.23,5.75,5.75,8%,$12.03,
R9,GRAFTON,9,STRAPPARSI,$7.27,$5.50,$5.33,$4.57,$2.60,17.95%,15.25,1,1,4,1.25,1,3,1,4,1,2,1,2,2,21,20,55,0,3.3,5353,11,Average,7U-M,Off-Pace,0.67,3,5-M,55,0,-104,3,A GIBBON,K LEES,4,7.14,5.57,0,0,9,8,0,8,5.5,2,7,3,4.25,0,2.5,14.25,14.25,19%,$5.33,18.75,18.75,38%,$2.60,15.25,15.25,22%,$4.57,
R9,GRAFTON,11,CABSAV,,$15.00,$15.83,$16.20,$11.38,4.28%,4.25,7,7,15,5.5,0,7,7,8,4,8,8,5,6,19,44,45,50,2.2,6674,17,Average,5U-OM,Off Midfield,0.28,4,6-G,55,0,106,7,L P ROLLS,J SHELTON,14,32.76,23.38,1.5,1.5,4,4,1,11,-0.5,-5,5.5,-5,4.25,0,5.5,4.75,4.75,6%,$15.83,4.25,4.25,9%,$11.38,4.25,4.25,6%,$16.20,
R9,GRAFTON,13,CRITICAL TIME,$4.21,$9.50,$9.17,$16.20,$12.88,6.09%,4.25,4,6,8,4.75,0,5,8,6,7,6,3,5,7,27,24,42,0,1.8,80x2,20,Average,SU-P,Midfield,0.50,1,6-G,55,-3,200,8,A ALLEN,SCOTT HENLEY,19,13.85,16.425,1,1,7,6,1,11,-3.5,-3,6,-2,4.25,0,5.5,8.25,8.25,11%,$9.17,3.75,3.75,8%,$12.88,4.25,4.25,6%,$16.20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
